q_label,is_lo,is_hi,os_lo,os_hi,best_L,best_S,is_profit,is_dd,is_npdd,is_trades,os_profit,os_dd,os_trades
2022Q3,4370,74285,74286,78655,3460,0.005,215327.0800000021,-4310.709999999963,49.951650656157334,91.0,2232.830000000031,-807.1349999999948,1.0
2022Q4,8740,78655,78656,83025,3460,0.005,209740.6900000017,-4310.709999999963,48.6557179675746,88.0,8514.769999999975,-6181.119999999995,9.0
2023Q1,13110,83025,83026,87395,640,0.005,372682.00000000244,-9792.239999999816,38.058911954773315,220.0,33449.47000000026,-2949.104999999836,9.0
2023Q2,17480,87395,87396,91765,580,0.005,392414.84500000277,-9795.680000000168,40.059990220178285,231.5,11185.570000000022,-11189.049999999988,9.0
2023Q3,21850,91765,91766,96135,640,0.005,379691.450000003,-9792.239999999816,38.77472876481889,215.0,24745.390000000436,-6615.879999999728,13.0
2023Q4,26220,96135,96136,100505,640,0.005,379672.9500000037,-9792.239999999816,38.77283951373851,205.0,12898.435000000376,-7141.644999999815,9.5
2024Q1,30590,100505,100506,104875,640,0.005,364272.8550000029,-9792.239999999816,37.20015593980639,203.5,72605.82000000012,-4883.1400000000285,14.0
2024Q2,34960,104875,104876,109245,2020,0.005,257976.0000000018,-6181.120000000054,41.73612549182018,100.0,17044.42000000007,-5598.504999999961,4.0
2024Q3,39330,109245,109246,113615,640,0.005,385849.6300000032,-9792.239999999845,39.40361245231013,201.0,26355.57999999974,-15924.994999999966,16.0
2024Q4,43700,113615,113616,117985,2020,0.005,252857.64000000223,-6181.120000000054,40.90806196935184,98.0,-42.4199999999837,-5182.904999999941,6.0
2025Q1,48070,117985,117986,122355,2030,0.005,237939.9800000009,-6181.120000000054,38.49463851211412,96.0,140031.86000000022,-5742.274999999907,12.0
2025Q2,52440,122355,122356,126725,2030,0.005,363915.24000000133,-6181.120000000054,58.87529120935982,98.0,0.0,0.0,0.0
2025Q3,56810,126725,126726,131095,2030,0.005,350155.6000000013,-6181.120000000054,56.64921567612314,90.0,120712.27000000002,-12149.975000000035,19.0
2025Q4,61180,131095,131096,135465,520,0.005,712090.9700000056,-14798.13999999984,48.12030228123354,239.0,180105.1249999996,-20045.850000000064,22.5
